Time,Channel A,Channel B
(ms),(V),(mV)

-10.00807527,-0.49607840,-8.53907900
-10.00295527,-0.49607840,-8.08740400
-9.99783527,0.27048560,-6.27918300
-9.99271527,0.48442030,-3.11441400
-9.98759527,0.48442030,-2.20954000
-9.98247527,0.48442030,-0.85451830
-9.97735527,0.47550890,0.95370340
-9.97223527,0.48442030,2.30872500
-9.96711527,0.48442030,2.76192500
-9.96199527,0.48442030,4.57014700
-9.95687527,0.48442030,4.57014700
-9.95175527,0.47550890,5.92516900
-9.94663527,0.48442030,6.37836800
-9.94151527,0.48442030,6.83004200
-9.93639527,0.47550890,7.28171600
-9.93127527,0.48442030,7.73339000
-9.92615528,0.48442030,7.73339000
-9.92103528,0.48442030,8.18659000
-9.91591528,0.48442030,9.08993800
-9.91079528,0.48442030,8.18659000
-9.90567528,0.48442030,8.63826400
-9.90055528,0.48442030,8.63826400
-9.89543528,0.48442030,9.08993800
-9.89031528,0.48442030,9.08993800
-9.88519528,0.48442030,8.63826400
-9.88007528,0.48442030,9.54161200
-9.87495528,0.48442030,8.63826400
-9.86983528,0.48442030,9.54161200
-9.86471528,0.48442030,8.18659000
-9.85959528,0.48442030,9.08993800
-9.85447528,0.48442030,9.08993800
-9.84935528,0.48442030,8.63826400
-9.84423528,0.48442030,9.54161200
-9.83911528,0.48442030,9.08993800
-9.83399528,0.48442030,9.08993800
-9.82887528,0.48442030,8.63826400
-9.82375528,0.48442030,8.63826400
-9.81863528,0.48442030,9.54161200
-9.81351528,0.48442030,9.54161200
-9.80839528,0.48442030,9.54161200
-9.80327528,0.48442030,8.63826400
-9.79815528,0.48442030,9.08993800
-9.79303528,0.48442030,8.63826400
-9.78791528,0.48442030,9.08993800
-9.78279528,0.48442030,9.08993800
-9.77767528,0.48442030,9.54161200
-9.77255528,0.48442030,9.08993800
-9.76743528,0.48442030,9.08993800
-9.76231528,0.48442030,9.08993800
-9.75719528,0.48442030,9.54161200
-9.75207528,0.48442030,9.08993800
-9.74695528,0.48442030,9.08993800
-9.74183528,0.48442030,9.54161200
-9.73671528,0.48442030,8.63826400
-9.73159528,0.48442030,8.63826400
-9.72647528,0.48442030,9.08993800
-9.72135528,0.48442030,8.18659000
-9.71623528,0.48442030,8.63826400
-9.71111528,0.48442030,8.63826400
-9.70599528,0.48442030,9.08993800
-9.70087528,0.48442030,8.63826400
-9.69575528,0.47550890,8.18659000
-9.69063528,0.48442030,8.63826400
-9.68551528,0.48442030,8.63826400
-9.68039528,0.48442030,8.63826400
-9.67527528,0.48442030,8.18659000
-9.67015528,0.48442030,8.63826400
-9.66503528,0.48442030,8.18659000
-9.65991528,0.48442030,9.08993800
-9.65479528,0.47550890,9.08993800
-9.64967528,0.48442030,8.63826400
-9.64455528,0.48442030,9.08993800
-9.63943528,0.48442030,8.18659000
-9.63431528,0.48442030,8.63826400
-9.62919528,0.48442030,8.63826400
-9.62407528,0.48442030,9.99481200
-9.61895528,0.48442030,8.18659000
-9.61383528,0.48442030,8.63826400
-9.60871528,0.48442030,8.63826400
-9.60359528,0.48442030,8.18659000
-9.59847528,0.48442030,8.63826400
-9.59335528,0.48442030,7.73339000
-9.58823528,0.48442030,8.18659000
-9.58311528,0.48442030,8.18659000
-9.57799528,0.48442030,8.63826400
-9.57287528,0.48442030,8.18659000
-9.56775528,0.48442030,8.18659000
-9.56263528,0.48442030,8.18659000
-9.55751528,0.48442030,8.18659000
-9.55239528,0.48442030,6.37836800
-9.54727528,0.48442030,8.18659000
-9.54215528,0.48442030,8.63826400
-9.53703528,0.48442030,8.18659000
-9.53191528,0.48442030,8.18659000
-9.52679528,0.48442030,8.18659000
-9.52167528,0.48442030,8.18659000
-9.51655528,0.48442030,8.18659000
-9.51143528,0.48442030,8.63826400
-9.50631528,0.48442030,8.18659000
-9.50119528,0.48442030,8.18659000
-9.49607528,0.48442030,8.18659000
-9.49095528,0.48442030,7.73339000
-9.48583528,0.48442030,8.63826400
-9.48071528,0.47550890,6.83004200
-9.47559528,0.48442030,8.18659000
-9.47047528,0.48442030,8.18659000
-9.46535528,0.48442030,7.73339000
-9.46023528,0.48442030,7.73339000
-9.45511528,0.48442030,7.73339000
-9.44999528,0.48442030,7.28171600
-9.44487528,0.48442030,7.73339000
-9.43975528,0.48442030,7.73339000
-9.43463528,0.48442030,7.73339000
-9.42951528,0.48442030,7.73339000
-9.42439528,0.48442030,8.18659000
-9.41927528,0.48442030,7.73339000
-9.41415528,0.48442030,8.18659000
-9.40903528,0.48442030,7.73339000
-9.40391528,0.48442030,7.73339000
-9.39879528,0.48442030,7.73339000
-9.39367528,0.48442030,7.28171600
-9.38855528,0.48442030,7.73339000
-9.38343528,0.48442030,8.18659000
-9.37831528,0.48442030,7.73339000
-9.37319528,0.48442030,8.18659000
-9.36807528,0.48442030,7.73339000
-9.36295528,0.48442030,7.28171600
-9.35783528,0.48442030,7.28171600
-9.35271528,0.48442030,7.73339000
-9.34759528,0.48442030,7.73339000
-9.34247528,0.48442030,8.18659000
-9.33735528,0.48442030,7.73339000
-9.33223528,0.48442030,7.28171600
-9.32711528,0.48442030,7.73339000
-9.32199528,0.48442030,7.28171600
-9.31687528,0.48442030,7.28171600
-9.31175528,0.48442030,7.28171600
-9.30663528,0.48442030,7.73339000
-9.30151528,0.48442030,7.73339000
-9.29639528,0.48442030,7.28171600
-9.29127528,0.48442030,7.28171600
-9.28615528,0.48442030,7.28171600
-9.28103528,0.48442030,7.28171600
-9.27591528,0.48442030,7.28171600
-9.27079528,0.48442030,7.28171600
-9.26567528,0.48442030,7.73339000
-9.26055528,0.48442030,7.28171600
-9.25543528,0.48442030,7.28171600
-9.25031528,0.48442030,7.28171600
-9.24519528,0.48442030,6.83004200
-9.24007528,0.48442030,7.73339000
-9.23495528,0.48442030,7.28171600
-9.22983528,0.48442030,7.28171600
-9.22471528,0.48442030,6.37836800
-9.21959528,0.48442030,6.83004200
-9.21447528,0.48442030,7.28171600
-9.20935528,0.48442030,6.37836800
-9.20423528,0.48442030,6.83004200
-9.19911528,0.48442030,7.28171600
-9.19399528,0.48442030,6.83004200
-9.18887528,0.48442030,6.83004200
-9.18375528,0.48442030,6.83004200
-9.17863528,0.48442030,5.02182100
-9.17351528,0.48442030,6.37836800
-9.16839528,0.48442030,6.83004200
-9.16327528,0.48442030,6.83004200
-9.15815528,0.48442030,6.37836800
-9.15303528,0.48442030,6.83004200
-9.14791528,0.48442030,6.83004200
-9.14279528,0.48442030,7.28171600
-9.13767528,0.48442030,6.37836800
-9.13255528,0.48442030,6.37836800
-9.12743528,0.48442030,6.83004200
-9.12231528,0.48442030,6.37836800
-9.11719528,0.48442030,6.37836800
-9.11207528,0.48442030,7.28171600
-9.10695528,0.48442030,9.99481200
-9.10183528,0.48442030,6.37836800
-9.09671528,0.48442030,6.37836800
-9.09159528,0.48442030,6.83004200
-9.08647528,0.48442030,6.37836800
-9.08135528,0.48442030,6.37836800
-9.07623528,0.48442030,6.37836800
-9.07111528,0.48442030,6.37836800
-9.06599528,0.48442030,6.37836800
-9.06087528,0.48442030,5.92516900
-9.05575528,0.48442030,6.37836800
-9.05063528,0.48442030,5.92516900
-9.04551528,0.48442030,5.92516900
-9.04039528,0.48442030,6.37836800
-9.03527528,0.48442030,4.11694700
-9.03015528,0.48442030,6.37836800
-9.02503528,0.48442030,5.92516900
-9.01991528,0.48442030,6.37836800
-9.01479528,0.48442030,5.92516900
-9.00967528,0.48442030,5.92516900
-9.00455528,0.48442030,5.92516900
-8.99943528,0.44877470,5.47349500
-8.99431528,-0.49607840,1.40537700
-8.98919528,-0.49607840,-0.40131840
