Time,Channel A,Channel B
(us),(V),(V)

-500.47179684,-0.01470992,-0.16095460
-500.15179684,-0.00579852,-0.15201270
-499.83179684,0.00311289,-0.14307080
-499.51179685,0.01202429,-0.13412890
-499.19179685,0.02093570,-0.12518690
-498.87179685,0.03875851,-0.11624500
-498.55179685,0.04766991,-0.10730310
-498.23179685,0.05658132,-0.09836116
-497.91179686,0.07440413,-0.08941923
-497.59179686,0.07440413,-0.08047731
-497.27179686,0.08331553,-0.07153539
-496.95179686,0.09222694,-0.06259346
-496.63179686,0.10113830,-0.06259346
-496.31179687,0.11004970,-0.05365154
-495.99179687,0.11004970,-0.05365154
-495.67179687,0.12787260,-0.04470962
-495.35179687,0.12787260,-0.03576769
-495.03179687,0.14569540,-0.02682577
-494.71179688,0.15460680,-0.00894192
-494.39179688,0.16351820,0.00000000
-494.07179688,0.18134100,0.00000000
-493.75179688,0.19028290,0.00894192
-493.43179688,0.19919430,0.01785333
-493.11179689,0.20810570,0.02676473
-492.79179689,0.21701710,0.02676473
-492.47179689,0.23483990,0.04464858
-492.15179689,0.23483990,0.04464858
-491.83179689,0.24375130,0.05359050
-491.51179689,0.25266270,0.05359050
-491.19179690,0.25266270,0.06253242
-490.87179690,0.25266270,0.07147435
-490.55179690,0.27048560,0.08041627
-490.23179690,0.27048560,0.08041627
-489.91179690,0.27939700,0.08935820
-489.59179691,0.28830840,0.09830012
-489.27179691,0.30616170,0.10724200
-488.95179691,0.30616170,0.11618400
-488.63179691,0.32398450,0.12512590
-488.31179691,0.32398450,0.12512590
-487.99179692,0.34180730,0.12512590
-487.67179692,0.34180730,0.13406780
-487.35179692,0.35071870,0.14300970
-487.03179692,0.35963010,0.15195170
-486.71179692,0.35963010,0.14300970
-486.39179693,0.35963010,0.16089360
-486.07179693,0.36854150,0.12512590
-485.75179693,0.37745290,0.17877740
-485.43179693,0.37745290,0.16983550
-485.11179693,0.38636430,0.16983550
-484.79179694,0.38636430,0.17877740
-484.47179694,0.39527570,0.18771930
-484.15179694,0.39527570,0.18771930
-483.83179694,0.40418710,0.19666130
-483.51179694,0.41309850,0.17877740
-483.19179695,0.41309850,0.21454510
-482.87179695,0.41309850,0.19666130
-482.55179695,0.41309850,0.20560320
-482.23179695,0.43095190,0.21454510
-481.91179695,0.43095190,0.21454510
-481.59179696,0.43095190,0.21454510
-481.27179696,0.43986330,0.22348700
-480.95179696,0.43986330,0.22348700
-480.63179696,0.44877470,0.23242900
-480.31179696,0.44877470,0.23242900
-479.99179696,0.44877470,0.23242900
-479.67179697,0.44877470,0.23242900
-479.35179697,0.45768610,0.23242900
-479.03179697,0.45768610,0.23242900
-478.71179697,0.46659750,0.24137090
-478.39179697,0.46659750,0.23242900
-478.07179698,0.46659750,0.24137090
-477.75179698,0.46659750,0.24137090
-477.43179698,0.47550890,0.25031280
-477.11179698,0.46659750,0.24137090
-476.79179698,0.46659750,0.25031280
-476.47179699,0.46659750,0.25031280
-476.15179699,0.47550890,0.25031280
-475.83179699,0.46659750,0.25031280
-475.51179699,0.47550890,0.25031280
-475.19179699,0.46659750,0.25031280
-474.87179700,0.46659750,0.25031280
-474.55179700,0.47550890,0.26819670
-474.23179700,0.47550890,0.25031280
-473.91179700,0.46659750,0.24137090
-473.59179700,0.46659750,0.25031280
-473.27179701,0.46659750,0.24137090
-472.95179701,0.46659750,0.24137090
-472.63179701,0.46659750,0.24137090
-472.31179701,0.45768610,0.24137090
-471.99179701,0.45768610,0.24137090
-471.67179702,0.44877470,0.24137090
-471.35179702,0.44877470,0.24137090
-471.03179702,0.44877470,0.24137090
-470.71179702,0.44877470,0.23242900
-470.39179702,0.44877470,0.23242900
-470.07179703,0.44877470,0.23242900
-469.75179703,0.43986330,0.23242900
-469.43179703,0.43986330,0.22348700
-469.11179703,0.43095190,0.22348700
-468.79179703,0.43095190,0.21454510
-468.47179703,0.43095190,0.22348700
-468.15179704,0.42204050,0.21454510
-467.83179704,0.41309850,0.20560320
-467.51179704,0.41309850,0.20560320
-467.19179704,0.41309850,0.20560320
-466.87179704,0.41309850,0.19666130
-466.55179705,0.39527570,0.19666130
-466.23179705,0.39527570,0.19666130
-465.91179705,0.38636430,0.18771930
-465.59179705,0.37745290,0.18771930
-465.27179705,0.37745290,0.17877740
-464.95179706,0.37745290,0.16983550
-464.63179706,0.35963010,0.16089360
-464.31179706,0.35963010,0.16089360
-463.99179706,0.35071870,0.15195170
-463.67179706,0.34180730,0.15195170
-463.35179707,0.33289590,0.14300970
-463.03179707,0.32398450,0.14300970
-462.71179707,0.32398450,0.13406780
-462.39179707,0.31507310,0.12512590
-462.07179707,0.30616170,0.11618400
-461.75179708,0.30616170,0.11618400
-461.43179708,0.29721980,0.10724200
-461.11179708,0.28830840,0.10724200
-460.79179708,0.28830840,0.10724200
-460.47179708,0.27048560,0.08935820
-460.15179709,0.27048560,0.08935820
-459.83179709,0.25266270,0.08041627
-459.51179709,0.25266270,0.08041627
-459.19179709,0.23483990,0.07147435
-458.87179709,0.23483990,0.04464858
-458.55179710,0.21701710,0.05359050
-458.23179710,0.21701710,0.04464858
-457.91179710,0.19919430,0.03570665
-457.59179710,0.19028290,0.02676473
-457.27179710,0.18134100,0.02676473
-456.95179710,0.17242960,0.00894192
-456.63179711,0.16351820,0.00894192
-456.31179711,0.16351820,0.00894192
-455.99179711,0.14569540,0.01785333
-455.67179711,0.13678400,-0.01788385
-455.35179711,0.13678400,-0.01788385
-455.03179712,0.12787260,-0.02682577
-454.71179712,0.11004970,-0.03576769
-454.39179712,0.11004970,-0.04470962
-454.07179712,0.09222694,-0.04470962
-453.75179712,0.09222694,-0.05365154
-453.43179713,0.07440413,-0.06259346
-453.11179713,0.06549272,-0.08047731
-452.79179713,0.05658132,-0.08941923
-452.47179713,0.03875851,-0.08941923
-452.15179713,0.03875851,-0.09836116
-451.83179714,0.02093570,-0.10730310
-451.51179714,0.02093570,-0.10730310
-451.19179714,0.01202429,-0.12518690
-450.87179714,0.00311289,-0.12518690
-450.55179714,-0.01470992,-0.13412890
-450.23179715,-0.01470992,-0.14307080
-449.91179715,-0.03253273,-0.15201270
-449.59179715,-0.04147466,-0.16095460
-449.27179715,-0.05038606,-0.16989650
-448.95179715,-0.06820887,-0.16095460
-448.63179716,-0.06820887,-0.18778040
-448.31179716,-0.07712027,-0.18778040
-447.99179716,-0.08603168,-0.19672230
-447.67179716,-0.09494308,-0.20566420
-447.35179716,-0.10385450,-0.21460620
-447.03179717,-0.11276590,-0.21460620
-446.71179717,-0.12167730,-0.23249000
-446.39179717,-0.13058870,-0.24143190
-446.07179717,-0.13950010,-0.24143190
-445.75179717,-0.14841150,-0.25037380
-445.43179717,-0.16626480,-0.26825770
-445.11179718,-0.17517620,-0.26825770
-444.79179718,-0.18408760,-0.27719960
-444.47179718,-0.19299910,-0.28614150
-444.15179718,-0.21082190,-0.29508350
-443.83179718,-0.21082190,-0.30402540
-443.51179719,-0.21973330,-0.31296730
-443.19179719,-0.22864470,-0.30402540
-442.87179719,-0.22864470,-0.31296730
-442.55179719,-0.24646750,-0.33085120
-442.23179719,-0.24646750,-0.33085120
-441.91179720,-0.25537890,-0.33979310
-441.59179720,-0.26429030,-0.34873500
-441.27179720,-0.27323220,-0.35767690
-440.95179720,-0.29105500,-0.36661880
-440.63179720,-0.29105500,-0.37556080
-440.31179721,-0.29996640,-0.41132850
-439.99179721,-0.31778920,-0.38450270
-439.67179721,-0.31778920,-0.38450270
-439.35179721,-0.33561210,-0.40238650
-439.03179721,-0.33561210,-0.40238650
-438.71179722,-0.35343490,-0.41132850
-438.39179722,-0.35343490,-0.42027040
-438.07179722,-0.35343490,-0.42027040
-437.75179722,-0.36234630,-0.42027040
-437.43179722,-0.37125770,-0.42921230
-437.11179723,-0.37125770,-0.42921230
-436.79179723,-0.37125770,-0.43815430
-436.47179723,-0.38911100,-0.44709620
-436.15179723,-0.38911100,-0.44709620
-435.83179723,-0.38911100,-0.45603810
-435.51179724,-0.40693380,-0.45603810
-435.19179724,-0.40693380,-0.46498000
-434.87179724,-0.41584520,-0.47392190
-434.55179724,-0.42475660,-0.47392190
-434.23179724,-0.42475660,-0.48286380
-433.91179724,-0.43366800,-0.48286380
-433.59179725,-0.44257940,-0.49180580
-433.27179725,-0.44257940,-0.48286380
-432.95179725,-0.44257940,-0.49180580
-432.63179725,-0.45149080,-0.50074770
-432.31179725,-0.46040220,-0.50968960
-431.99179726,-0.46040220,-0.50968960
-431.67179726,-0.46040220,-0.50968960
-431.35179726,-0.46931370,-0.50968960
-431.03179726,-0.46931370,-0.51863160
-430.71179726,-0.46931370,-0.51863160
-430.39179727,-0.47822510,-0.51863160
-430.07179727,-0.47822510,-0.52757350
-429.75179727,-0.47822510,-0.52757350
-429.43179727,-0.49607840,-0.53651540
-429.11179727,-0.48713650,-0.52757350
-428.79179728,-0.49607840,-0.53651540
-428.47179728,-0.49607840,-0.53651540
-428.15179728,-0.49607840,-0.52757350
-427.83179728,-0.49607840,-0.53651540
-427.51179728,-0.49607840,-0.53651540
-427.19179729,-0.49607840,-0.53651540
-426.87179729,-0.49607840,-0.53651540
-426.55179729,-0.49607840,-0.53651540
-426.23179729,-0.49607840,-0.54545730
-425.91179729,-0.49607840,-0.54545730
-425.59179730,-0.49607840,-0.54545730
-425.27179730,-0.49607840,-0.54545730
-424.95179730,-0.49607840,-0.53651540
-424.63179730,-0.49607840,-0.54545730
-424.31179730,-0.49607840,-0.53651540
-423.99179731,-0.49607840,-0.54545730
-423.67179731,-0.49607840,-0.54545730
-423.35179731,-0.49607840,-0.53651540
-423.03179731,-0.49607840,-0.53651540
-422.71179731,-0.49607840,-0.53651540
-422.39179731,-0.48713650,-0.53651540
-422.07179732,-0.48713650,-0.52757350
-421.75179732,-0.47822510,-0.52757350
-421.43179732,-0.47822510,-0.52757350
-421.11179732,-0.47822510,-0.52757350
-420.79179732,-0.47822510,-0.52757350
-420.47179733,-0.47822510,-0.52757350
-420.15179733,-0.47822510,-0.51863160
-419.83179733,-0.47822510,-0.51863160
-419.51179733,-0.46040220,-0.51863160
-419.19179733,-0.46040220,-0.51863160
-418.87179734,-0.46040220,-0.50968960
-418.55179734,-0.46040220,-0.50968960
-418.23179734,-0.45149080,-0.50074770
-417.91179734,-0.44257940,-0.50074770
-417.59179734,-0.44257940,-0.49180580
-417.27179735,-0.44257940,-0.49180580
-416.95179735,-0.43366800,-0.49180580
-416.63179735,-0.42475660,-0.48286380
-416.31179735,-0.41584520,-0.48286380
-415.99179735,-0.41584520,-0.48286380
-415.67179736,-0.40693380,-0.48286380
-415.35179736,-0.40693380,-0.47392190
-415.03179736,-0.39802240,-0.46498000
-414.71179736,-0.38911100,-0.46498000
-414.39179736,-0.38911100,-0.45603810
-414.07179737,-0.38016910,-0.44709620
-413.75179737,-0.37125770,-0.44709620
-413.43179737,-0.36234630,-0.44709620
-413.11179737,-0.35343490,-0.42921230
-412.79179737,-0.35343490,-0.42027040
-412.47179738,-0.33561210,-0.42027040
-412.15179738,-0.33561210,-0.41132850
