# freq_THz ReS ImS AbsS Phase_rad
4.28152902e-01 1.40236447e-05 7.99803761e-06 1.61440768e-05 5.18313927e-01
5.70870536e-01 2.10376469e-05 1.27520224e-05 2.46007451e-05 5.44931126e-01
7.13588170e-01 1.69027134e-05 6.54806487e-06 1.81267447e-05 3.69594959e-01
8.56305804e-01 1.84234759e-05 1.15126484e-05 2.17247679e-05 5.58520310e-01
9.99023437e-01 2.33345058e-05 1.03766025e-05 2.55376788e-05 4.18428687e-01
1.14174107e+00 2.09296102e-05 1.00311161e-05 2.32093057e-05 4.46933568e-01
1.28445871e+00 2.45098062e-05 5.61806122e-06 2.51454412e-05 2.25324483e-01
1.42717634e+00 3.13957945e-05 8.52085229e-06 3.25315361e-05 2.65017247e-01
1.56989397e+00 2.30032181e-05 8.70649643e-06 2.45957542e-05 3.61827200e-01
1.71261161e+00 2.42013448e-05 7.99380381e-06 2.54873692e-05 3.19021786e-01
1.85532924e+00 2.39579177e-05 1.33959427e-05 2.74487358e-05 5.09836973e-01
1.99804687e+00 2.23844231e-05 9.61216136e-06 2.43609533e-05 4.05602517e-01
2.14076451e+00 2.69635889e-05 3.20942746e-06 2.71539233e-05 1.18470812e-01
2.28348214e+00 3.03419452e-05 -2.10009690e-06 3.04145368e-05 -6.91041034e-02
2.42619978e+00 3.63769069e-05 7.02255252e-07 3.63836848e-05 1.93025766e-02
