0   -0.00000002031018	0	0	0.14269125	0.185080092	0.0423888455	0	0	nan	0
-0.5	0.000000000368305	0	0	0.2340851	0.388807016	0.1547219144	0	-20596980125.7	0	0
-1	-0.00000000039739	0	0	0.42666631	0.639054897	0.2123885846	0	-41193960251.4	0	0
-1.5	-0.000000000392158	0	0	0.62917682	0.900715856	0.2715390374	0	-61790940377.1	0	0
-2	-0.000000000383884	0	0	0.79681628	1.047010936	0.2501946567	0	-82387920502.8	0	0
-2.5	-0.000000000366797	0	0	0.83079299	1.08586868	0.2550756854	0	-102984900628.5	0	0
-3	-0.000000000380317	0	0	0.8624669	1.124019372	0.261552473	0	-123581880754.2	0	0
-3.5	-0.000000000351665	0	0	0.89535329	1.163466812	0.2681135255	0	-144178860879.89	0	0
-4	-0.000000000354891	0	0	0.92955548	1.204132641	0.2745771583	0	-164775841005.59	0	0
-4.5	-0.000000000363952	0	0	0.96475803	1.245913663	0.2811556312	0	-185372821131.29	0	0
-5	-0.000000000332874	0	0	1.00089195	1.288290537	0.2873985872	0	-205969801256.99	0	0
-5.5	-0.000000000317387	0	0	1.03757696	1.331109995	0.2935330388	0	-226566781382.69	0	0
-6	-0.000000000324561	0	0	1.0745962	1.374293567	0.2996973683	0	-247163761508.39	0	0
-6.5	-0.000000000314437	0	0	1.1121242	1.417967798	0.3058435984	0	-267760741634.09	0	0
-7	-0.000000000297128	0	0	1.15002957	1.462243876	0.3122143096	0	-288357721759.79	0	0
-7.5	-0.000000000293298	0	0	1.18877672	1.507277809	0.3185010843	0	-308954701885.49	0	0
-8	-0.000000000306936	0	0	1.22804375	1.552770911	0.324727166	0	-329551682011.19	0	0
-8.5	-0.000000000290466	0	0	1.26745024	1.598543564	0.3310933274	0	-350148662136.89	0	0
-9	-0.000000000291936	0	0	1.30733841	1.644701176	0.3373627702	0	-370745642262.59	0	0
-9.5	-0.000000000245004	0	0	1.34754462	1.691238777	0.3436941534	0	-391342622388.29	0	0
-10	-0.000000000268017	0	0	1.38832511	1.738425324	0.3501002185	0	-411939602513.99	0	0
-10.5	-0.000000000276488	0	0	1.42943085	1.785791046	0.3563601965	0	-432536582639.68	0	0
-11	-0.000000001651782	0	0	1.47422901	1.832828878	0.3585998715	-6.15269601774505E-08	-453133562765.38	0.84747879032301	0
-11.5	-0.00000000469678	-0.0000001	-35.8585	1.4838672	1.831938817	0.3480716189	-6.33879891910168E-08	-473730542891.08	0.83515137274067	0
-12	-0.000000002565134	-0.0000001	-12.0452	1.43329528	1.745935397	0.3126401171	-7.0571749458187E-08	-494327523016.78	0.89105744265388	0
-12.5	-0.000000001699929	-0.0000001	-10.705	1.3515735	1.626175853	0.2746023536	-8.03473084903381E-08	-514924503142.48	0.97390676957986	0
-13	-0.000000001454816	-0.0000001	-9.73464	1.27164656	1.515100096	0.2434535396	-9.0627394658586E-08	-535521483268.18	1.05626334100916	0
-13.5	-0.000000001270236	-0.0000001	-8.95659	1.21027721	1.43524547	0.2249682632	-9.807410032174E-08	-556118463393.88	1.10071941999708	0
-14	-0.000000001092105	-0.0000001	-8.32041	1.15486709	1.363515546	0.2086484596	-1.05745137325472E-07	-576715443519.58	1.14442789313282	0
-14.5	-0.000000000972396	-0.0000001	-7.78325	1.10388834	1.298547173	0.1946588394	-1.13344763005227E-07	-597312423645.28	1.18437578897834	0
-15	-0.000000000892472	-0.0000001	-7.32488	1.05755796	1.239769049	0.1822110893	-1.21087910175038E-07	-617909403770.98	1.22311020378827	0
-15.5	-0.000000000825911	-0.0000001	-6.92599	1.01491692	1.186038084	0.1711211633	-1.28935308692913E-07	-638506383896.68	1.26036469885545	0
-16	-0.000000000735536	-0.0000001	-6.56564	0.97530374	1.136559516	0.1612557786	-1.36823375949207E-07	-659103364022.38	1.29567590860991	0
-16.5	-0.000000000762549	-0.0000001	-6.24229	0.93852794	1.090950201	0.152422258	-1.44752874662357E-07	-679700344148.08	1.3292274991952	0
-17	-0.000000000678874	-0.0000001	-5.95256	0.90413009	1.048394464	0.1442643765	-1.52938379840965E-07	-700297324273.77	1.36308716435798	0
-17.5	-0.000000000635982	-0.0000001	-5.69126	0.87178071	1.00875085	0.1369701395	-1.6108299293697E-07	-720894304399.47	1.39465794750624	0
-18	-0.000000000589155	-0.0000001	-5.45066	0.84163824	0.971979074	0.1303408368	-1.69275881273651E-07	-741491284525.17	1.42488115550211	0
-18.5	-0.000000000612995	-0.0000001	-5.23165	0.81357535	0.937749552	0.1241741974	-1.77682324382573E-07	-762088264650.87	1.45521969191296	0
-19	-0.00000000053825	-0.0000001	-5.02708	0.78709815	0.905666113	0.1185679656	-1.86083651714989E-07	-782685244776.57	1.48392066758364	0
-19.5	-0.000000000545974	-0.0000001	-4.83834	0.76201322	0.875338553	0.1133253317	-1.94692216543135E-07	-803282224902.27	1.51276003530019	0
-20	-0.000000000520981	-0.0000001	-4.66509	0.73837834	0.846806668	0.108428329	-2.03485198202215E-07	-823879205027.97	1.54155453183496	0
-20.5	-0.000000000512614	-0.0000001	-4.50053	0.71603002	0.820023722	0.1039936981	-2.12162471638766E-07	-844476185153.67	1.56808922127691	0
-21	-0.000000000466443	-0.0000001	-4.34971	0.69500114	0.794861343	0.099860208	-2.20944462769763E-07	-865073165279.37	1.59411589299974	0
-21.5	-0.000000000461605	-0.0000001	-4.20495	0.67511097	0.771025079	0.0959141036	-2.30034574601038E-07	-885670145405.07	1.62110341508836	0
-22	-0.000000000457867	-0.0000001	-4.0685	0.65608457	0.748384479	0.0922999109	-2.39042050968041E-07	-906267125530.77	1.64629511685979	0
-22.5	-0.000000000452229	-0.0000001	-3.94276	0.63800466	0.726800905	0.0887962412	-2.48474031356123E-07	-926864105656.47	1.67322580037793	0
-23	-0.00000000044735	-0.0000001	-3.82092	0.62085181	0.706370903	0.0855190858	-2.57995742344395E-07	-947461085782.17	1.69957669528587	0
-23.5	-0.000000000440991	-0.0000001	-3.70762	0.60443211	0.686901371	0.0824692602	-2.67536776367145E-07	-968058065907.86	1.72493085987843	0
-24	-0.00000000042237	-0.0000001	-3.60016	0.58885474	0.668534927	0.0796801884	-2.7690145379925E-07	-988655046033.56	1.74811523863163	0
-24.5	-0.000000000455927	-0.0000001	-3.49888	0.57413188	0.651052482	0.0769205998	-2.86835517085158E-07	-1009252026159.26	1.77387456453406	0
-25	-0.000000000405809	-0.0000001	-3.40377	0.55998259	0.634345299	0.0743627065	-2.96701949658463E-07	-1029849006284.96	1.79819363429372	0
-25.5	-0.000000000422961	-0.0000001	-3.31139	0.54647277	0.618324857	0.0718520896	-3.07069149152982E-07	-1050445986410.66	1.82453445723697	0
-26	-0.000000000426606	-0.0000001	-3.22411	0.53362307	0.603209012	0.0695859462	-3.17069196010518E-07	-1071042966536.36	1.84772258747388	0
-26.5	-0.000000000403855	-0.0000001	-3.14305	0.52119464	0.588620154	0.0674255102	-3.27228669634539E-07	-1091639946662.06	1.8709472248973	0
-27	-0.000000000392381	-0.0000001	-3.06412	0.50932159	0.574609509	0.0652879228	-3.37942441458451E-07	-1112236926787.76	1.89642223040657	0
-27.5	-0.000000000408234	-0.0000001	-2.98702	0.49779901	0.561110548	0.0633115366	-3.48491936749097E-07	-1132833906913.46	1.92006576721265	0
-28	-0.000000000406701	-0.0000001	-2.9148	0.48681794	0.548212503	0.0613945632	-3.59373190003351E-07	-1153430887039.16	1.94466011906575	0
-28.5	-0.000000000390991	-0.0000001	-2.84545	0.47619684	0.535839132	0.0596422966	-3.6993142933504E-07	-1174027867164.86	1.96667426547071	0
-29	-0.000000000446302	-0.0000001	-2.77926	0.46602081	0.523933377	0.0579125685	-3.80980512489177E-07	-1194624847290.56	1.99049379565923	0
-29.5	-0.000000000402694	-0.0000001  -2.71511	0.45628504	0.512170963	0.0561149231	-3.9189051871559E-07	-1215221827416.26	2.01209164658546	0
-30	-0.000000000402694	-0.0000001  -2.65311	0.44698799  0.500876982	0.0548889921	-4.0309051871559E-07	-1235818807541.96	2.03409164658546	0
